STITCH ID STEREO,MEDRA TERM UMLS CONCEPT ID,se_count
CID000035370,"['C0000768', 'C0085636', 'C0038362', 'C0027497', 'C0027947', 'C0497156', 'C0013404', 'C0009676', 'C0151907', 'C0267792', 'C0403632', 'C0232462', 'C0026858', 'C2047937', 'C0004093', 'C0030554', 'C0038002', 'C1527344', 'C0001122', 'C0151603', 'C0014591', 'C0009806', 'C0856151', 'C0022107', 'C1260880', 'C0031350', 'C0023530', 'C0004364', 'C1384666', 'C0030312', 'C0022346', 'C0015967', 'C0002871', 'C0019196', 'C0001175', 'C0016204', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0239571', 'C0231528', 'C0267596', 'C0085593', 'C0013609', 'C0035455', 'C0020433', 'C1167965', 'C0043144', 'C0034902', 'C0042571', 'C0011603', 'C0151904', 'C0004936', 'C0040409', 'C2830004', 'C0010692', 'C1443060', 'C0027441', 'C0011168', 'C0004610', 'C0232849', 'C0041657', 'C0149745', 'C0017565', 'C0038325', 'C0026848', 'C0853813', 'C0011053', 'C0151888', 'C0031117', 'C0338831', 'C0687133', 'C0037274', 'C0004604', 'C0233472', 'C0001125', 'C0233494', 'C0018418', 'C0018681', 'C0042384', 'C0231218', 'C0021400', 'C0242184', 'C0795692', 'C0002994', 'C0025061', 'C0037763', 'C0702166', 'C0039070', 'C0014518', 'C0001824', 'C0152032', 'C0085633', 'C0151610', 'C1325847', 'C0036974', 'C0002874', 'C0043096', 'C0549567', 'C0032617', 'C0042023', 'C0018802', 'C0231530', 'C0009782', 'C0853149', 'C0030305', 'C1142520', 'C0028081', 'C0234930', 'C0027765', 'C0036572', 'C0014724', 'C0013395', 'C0003467', 'C0008031', 'C0031542', 'C0162429', 'C0423791', 'C0002878', 'C0017178', 'C0035410', 'C0013604', 'C0020453', 'C0878544', 'C0002792', 'C0030193', 'C0015230', 'C0234913', 'C0002418', 'C0015672', 'C0037199', 'C0010200', 'C0042075', 'C0006145', 'C0040034', 'C0027121', 'C0948594', 'C0023895', 'C0014742', 'C0041834', 'C0019209', 'C0042109', 'C0003862', 'C0042963', 'C0917801', 'C1142412', 'C0020429', 'C0234916', 'C0027769', 'C0424605', 'C0013378', 'C0268000', 'C0234215', 'C0271051', 'C0013428', 'C0012833', 'C0018799', 'C0019158', 'C0020458', 'C0040822', 'C0018965', 'C0033774', 'C0151763', 'C0231856', 'C0236068']",166
CID000036294,"['C0948586', 'C0038362', 'C0006277', 'C0027497', 'C0151828', 'C0344232', 'C0013404', 'C0009676', 'C0023380', 'C0311468', 'C0423006', 'C0232462', 'C0595916', 'C2047937', 'C0004093', 'C0030554', 'C0151786', 'C1527344', 'C0005940', 'C0014591', 'C0022281', 'C0031350', 'C0011175', 'C0042373', 'C0023530', 'C0849918', 'C0235567', 'C0014236', 'C0438717', 'C0020517', 'C1384666', 'C0151723', 'C0015967', 'C0002871', 'C0476280', 'C0595877', 'C0162835', 'C0003578', 'C0700184', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0231528', 'C0038999', 'C0035455', 'C0021053', 'C0043144', 'C0023067', 'C0235266', 'C0040264', 'C0042571', 'C0011603', 'C0162285', 'C0151904', 'C0858797', 'C0028961', 'C1443060', 'C0239454', 'C0027424', 'C0239981', 'C0853813', 'C0011053', 'C0041349', 'C0031117', 'C0687133', 'C0037274', 'C1565489', 'C0014457', 'C2363731', 'C0041912', 'C0004604', 'C0151632', 'C0011206', 'C0018681', 'C0231218', 'C0002994', 'C0025061', 'C0013456', 'C0151827', 'C0001824', 'C0004096', 'C0035078', 'C0022568', 'C0521491', 'C0151908', 'C0235032', 'C0022660', 'C0549373', 'C0043096', 'C0006266', 'C0020621', 'C0009759', 'C0034642', 'C0271321', 'C0314719', 'C0151601', 'C0852911', 'C0259799', 'C0003564', 'C0235431', 'C0009782', 'C0024115', 'C1262036', 'C0027765', 'C0085682', 'C0233407', 'C0008031', 'C0235063', 'C0015423', 'C0239134', 'C1384353', 'C0149725', 'C0023518', 'C0017178', 'C0040046', 'C0423791', 'C3665624', 'C1262144', 'C0151729', 'C0010032', 'C0002792', 'C0020598', 'C0015230', 'C0020578', 'C0030193', 'C0033687', 'C0920171', 'C0037199', 'C0010200', 'C0042075', 'C0040034', 'C0948595', 'C0042963', 'C0042109', 'C0948594', 'C0041834', 'C0015397', 'C0011606', 'C0392386', 'C0155169', 'C0013378', 'C0221333', 'C0019079', 'C0234215', 'C0235710', 'C3665347', 'C0235280', 'C0012833', 'C0852810', 'C0152227', 'C0040425', 'C0033774', 'C0855775']",154
CID000036339,"['C0003578', 'C0424296', 'C0003811', 'C0039231', 'C1868752', 'C0030193', 'C0020578', 'C0027066', 'C3203358', 'C0020538', 'C0428977', 'C0858765', 'C0042963', 'C0019521', 'C0037384', 'C0740852', 'C0023066', 'C0036572', 'C1145670', 'C0242184', 'C0020649']",21
CID000036462,"['C0235378', 'C0038362', 'C0027497', 'C0027947', 'C0013404', 'C0009676', 'C0151907', 'C2242737', 'C0267792', 'C0002170', 'C0030583', 'C0232462', 'C0595916', 'C2047937', 'C0004093', 'C0030554', 'C0020580', 'C0009806', 'C0023066', 'C0016382', 'C0042373', 'C0023530', 'C0020517', 'C0030312', 'C0018801', 'C0022346', 'C0015967', 'C0002871', 'C0003578', 'C0740394', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0155320', 'C0877153', 'C0038999', 'C0085593', 'C0007642', 'C0021053', 'C0027051', 'C0042571', 'C0011603', 'C2830004', 'C1443060', 'C0011168', 'C0041657', 'C0149745', 'C0038325', 'C0031117', 'C0151799', 'C0037274', 'C0015376', 'C0004604', 'C0014868', 'C0220981', 'C0021368', 'C0206062', 'C0018681', 'C0231218', 'C0025061', 'C0037763', 'C0041582', 'C0014518', 'C0001824', 'C0007222', 'C0039231', 'C0035078', 'C0876994', 'C0235032', 'C0237849', 'C0018790', 'C0006266', 'C0022658', 'C0151905', 'C0009450', 'C0549567', 'C0852911', 'C0948089', 'C0032285', 'C0018802', 'C0153676', 'C1142520', 'C0036572', 'C0003962', 'C0085669', 'C0008031', 'C0549410', 'C1384353', 'C0031542', 'C0235416', 'C0423791', 'C0017178', 'C0243026', 'C0278134', 'C0027540', 'C0002792', 'C0030193', 'C0015230', 'C0015672', 'C0853777', 'C0020538', 'C0010200', 'C0042075', 'C0006840', 'C0040034', 'C0236071', 'C0034069', 'C0042963', 'C0042109', 'C1262013', 'C0014742', 'C0332534', 'C1142499', 'C0029134', 'C0015397', 'C0013378', 'C0234215', 'C0235710', 'C0746883', 'C0333355', 'C0027339', 'C0036983', 'C0012833', 'C0018799', 'C0020458', 'C0020649', 'C0340865', 'C0010520', 'C0033774', 'C0236068']",131
CID000036523,"['C0016204', 'C0029927', 'C0000768', 'C0687713', 'C0000737', 'C0011991', 'C0013922', 'C0013390', 'C0085083', 'C0027497', 'C0002792', 'C0030193', 'C0038999', 'C0232487', 'C0021053', 'C0015672', 'C0036974', 'C0032987', 'C0029928', 'C0006145', 'C0018944', 'C0024902', 'C0004093', 'C0042963', 'C0041834', 'C0025320', 'C0030794', 'C0009806', 'C0424605', 'C0022876', 'C0041912', 'C0027765', 'C0042373', 'C0151735', 'C0019065', 'C0000786', 'C0009938', 'C0018681', 'C0020517', 'C0340726', 'C0017178', 'C0033774']",42
CID000036811,"['C0040034', 'C0020621', 'C0008031', 'C0039231', 'C0277884', 'C0030252', 'C0002962', 'C0018681', 'C0027497', 'C0031542', 'C0151799', 'C0020649', 'C0033774', 'C0013404', 'C0151636', 'C0237849']",16
CID000037392,"['C0687713', 'C0000737', 'C0003811', 'C0011991', 'C0038454', 'C0038362', 'C0231528', 'C0030252', 'C0027497', 'C0002792', 'C0085593', 'C0015230', 'C0015672', 'C0750426', 'C0009676', 'C0010200', 'C0040264', 'C0011603', 'C0549249', 'C0150450', 'C0232462', 'C0542571', 'C2047937', 'C0004093', 'C1443060', 'C0948594', 'C0042109', 'C0042963', 'C0030554', 'C0042023', 'C0003862', 'C0009806', 'C0392386', 'C0000731', 'C0744727', 'C0234215', 'C3665347', 'C0004604', 'C0036572', 'C0013395', 'C0034063', 'C0008031', 'C0231170', 'C0851578', 'C0039621', 'C0012833', 'C0018681', 'C0231218', 'C0002878', 'C0020651', 'C0033774', 'C0019054', 'C0020546']",53
CID000037464,"['C0001824', 'C0011991', 'C0027497', 'C0030193', 'C0234913', 'C0004245', 'C0085633', 'C0857305', 'C0015672', 'C0013404', 'C0010200', 'C0242350', 'C0151942', 'C0428977', 'C0002170', 'C0030848', 'C0004093', 'C0002622', 'C0162529', 'C0917801', 'C0011570', 'C2363730', 'C2363731', 'C0023066', 'C0041912', 'C0476273', 'C0013395', 'C0233472', 'C0007398', 'C0233407', 'C0012833', 'C0018681', 'C0020458', 'C0015967']",34
CID000037542,"['C0162119', 'C0038362', 'C0006277', 'C0027947', 'C0151828', 'C0232487', 'C0853692', 'C0042769', 'C0242350', 'C0013182', 'C0004623', 'C0026858', 'C2047937', 'C3160741', 'C0035302', 'C1527344', 'C0005940', 'C0014591', 'C0149931', 'C0017181', 'C0020517', 'C0018808', 'C0042267', 'C0086769', 'C0003578', 'C0009324', 'C0000737', 'C0009917', 'C0235266', 'C0020456', 'C0004936', 'C0235639', 'C0031117', 'C0009763', 'C0231218', 'C0042384', 'C0242184', 'C0019054', 'C0041582', 'C0003811', 'C0030252', 'C1306577', 'C0237849', 'C0018790', 'C0549373', 'C0006266', 'C0876973', 'C0034065', 'C0206160', 'C0151636', 'C0948089', 'C0036689', 'C0234632', 'C0030305', 'C0152029', 'C0151734', 'C0043352', 'C0919980', 'C0008031', 'C0018099', 'C0235416', 'C0002957', 'C0030196', 'C0243026', 'C0043094', 'C0034150', 'C0002792', 'C0030193', 'C0033687', 'C0025345', 'C0010200', 'C0030920', 'C0027121', 'C0041834', 'C0035243', 'C0035309', 'C0015397', 'C0004134', 'C0002453', 'C0438142', 'C0024312', 'C0020458', 'C0853019', 'C0235378', 'C0085636', 'C0042029', 'C0027497', 'C0013595', 'C0013404', 'C0010399', 'C0030353', 'C0151786', 'C0037383', 'C0020580', 'C0027726', 'C0022281', 'C0022107', 'C0011570', 'C0234458', 'C0016382', 'C0011175', 'C0023530', 'C0917798', 'C0015967', 'C0155003', 'C0006849', 'C0035455', 'C1760428', 'C0021053', 'C0008311', 'C0026946', 'C2830004', 'C0232492', 'C0017565', 'C0027424', 'C0005586', 'C0011053', 'C0235896', 'C0041912', 'C0021368', 'C0344315', 'C0018681', 'C0027651', 'C0021400', 'C0025061', 'C0042755', 'C0020550', 'C0085632', 'C0004096', 'C0857305', 'C0085633', 'C0455204', 'C0035078', 'C0022568', 'C0036974', 'C0424295', 'C0428977', 'C0014394', 'C0233459', 'C0002622', 'C0034063', 'C0151735', 'C2711227', 'C0521505', 'C0878544', 'C0162830', 'C0017574', 'C0015468', 'C0234913', 'C0233514', 'C0042075', 'C0006145', 'C0038363', 'C0042963', 'C0038663', 'C0003862', 'C0549475', 'C0027769', 'C0039591', 'C0853193', 'C0013378', 'C0221264', 'C0404521', 'C0011124', 'C0012833', 'C0019158', 'C0020676', 'C0020649', 'C0152227', 'C0040822', 'C0033774', 'C0036202', 'C0344232', 'C3203358', 'C0009676', 'C0151907', 'C0011615', 'C0037672', 'C0020542', 'C0151479', 'C0004093', 'C0855242', 'C0030554', 'C0013146', 'C0033247', 'C0043117', 'C0019360', 'C0151795', 'C0231835', 'C0024141', 'C1384666', 'C0085649', 'C0022346', 'C0002871', 'C0004144', 'C0042749', 'C0016204', 'C0041969', 'C0231528', 'C0085593', 'C0007642', 'C0020433', 'C0043144', 'C0340464', 'C0034902', 'C0011603', 'C0518988', 'C1443060', 'C2364111', 'C0162529', 'C0034186', 'C0011849', 'C0038325', 'C0233414', 'C0018939', 'C0040128', 'C1565489', 'C0032584', 'C0033975', 'C0004604', 'C0010043', 'C0341012', 'C0233472', 'C0001125', 'C0851578', 'C0003873', 'C0233494', 'C0043246', 'C0687707', 'C0151827', 'C0948349', 'C0032326', 'C0232461', 'C0233471', 'C0521839', 'C0002874', 'C0231807', 'C0043096', 'C0549567', 'C0314719', 'C0004626', 'C0042023', 'C0032285', 'C0852733', 'C2937358', 'C0009782', 'C0022904', 'C0027796', 'C0028081', 'C0027765', 'C0013395', 'C0003467', 'C0039971', 'C0152025', 'C0017178', 'C0035410', 'C0235490', 'C0424000', 'C0018524', 'C0035328', 'C0002962', 'C0015230', 'C0001807', 'C0024902', 'C0040034', 'C0948594', 'C0019209', 'C0853697', 'C0029134', 'C0234215', 'C0235710', 'C0858259', 'C0009938', 'C0221776', 'C0948586', 'C0085605', 'C0497156', 'C0019080', 'C0009421', 'C0023380', 'C0267792', 'C0002170', 'C0232462', 'C0542571', 'C0014130', 'C0151825', 'C0009806', 'C0233794', 'C0020557', 'C0151662', 'C1260880', 'C0234233', 'C0031350', 'C0028084', 'C0042373', 'C0033581', 'C1145670', 'C0042035', 'C0031039', 'C0026826', 'C0011071', 'C0852625', 'C0740394', 'C0221714', 'C0687713', 'C0011991', 'C0017675', 'C1167965', 'C0030232', 'C0027051', 'C0009319', 'C0040264', 'C0042571', 'C0019348', 'C0042251', 'C0521509', 'C1306341', 'C0027441', 'C0041657', 'C0149745', 'C0025323', 'C0338831', 'C0037274', 'C2363730', 'C2363731', 'C1262141', 'C1328308', 'C0206062', 'C0040460', 'C0795692', 'C0002994', 'C0037763', 'C0040435', 'C0013456', 'C0086565', 'C0039070', 'C0014118', 'C0014518', 'C0029443', 'C0039231', 'C0010709', 'C0085631', 'C0151908', 'C0029928', 'C0151744', 'C0032617', 'C0023890', 'C0029882', 'C0085584', 'C0042024', 'C0036572', 'C1384353', 'C0007971', 'C0240897', 'C0149725', 'C0162429', 'C0002878', 'C0423791', 'C0013604', 'C0009760', 'C0877192', 'C0020453', 'C0035305', 'C0003864', 'C0033860', 'C0013390', 'C0020598', 'C0518015', 'C0015672', 'C0034155', 'C0020538', 'C0037199', 'C0241669', 'C0006840', 'C0235807', 'C0042109', 'C0014742', 'C0917801', 'C0549622', 'C0000731', 'C0035317', 'C3665347', 'C0271051', 'C0027339', 'C0018799', 'C0031046', 'C0010520', 'C0852995', 'C0017160']",389
CID000037720,"['C0038362', 'C0027497', 'C0232487', 'C0013404', 'C0002170', 'C0232462', 'C2047937', 'C0030554', 'C0014591', 'C0009806', 'C0011570', 'C1328337', 'C0031350', 'C0011175', 'C0023530', 'C0020517', 'C0023473', 'C0042267', 'C0022346', 'C0002871', 'C0028738', 'C0016204', 'C0687713', 'C0000737', 'C0011991', 'C0085606', 'C0231528', 'C0267596', 'C0035455', 'C0013491', 'C0040264', 'C0009319', 'C0011603', 'C1443060', 'C0017152', 'C0149745', 'C0017565', 'C0025323', 'C0009763', 'C0014868', 'C0233472', 'C0038525', 'C0018681', 'C0231218', 'C0151872', 'C0085633', 'C0085631', 'C0424295', 'C0043096', 'C0151766', 'C0376358', 'C0009450', 'C0042023', 'C0013395', 'C0013604', 'C0162830', 'C0043094', 'C0002962', 'C0015230', 'C0002418', 'C0037199', 'C0040034', 'C0041976', 'C0042963', 'C0948594', 'C0042109', 'C0030794', 'C0003862', 'C0917801', 'C0029134', 'C0234215', 'C0035317', 'C0002453', 'C0404521', 'C0012833', 'C0020458', 'C0152227', 'C0018965', 'C0033774']",79
CID000037768,"['C0003578', 'C0242528', 'C0027497', 'C0015230', 'C0235032', 'C0022660', 'C0011603', 'C0021308', 'C0595916', 'C0028961', 'C0042963', 'C0948594', 'C0030554', 'C0003862', 'C0011053', 'C0456909', 'C0014457', 'C0235280', 'C0001925', 'C0018681', 'C1384666', 'C0020649', 'C0040822', 'C0151723', 'C0015967', 'C0002871', 'C0522224']",27
CID000038852,"['C0016204', 'C0014518', 'C0001824', 'C0011991', 'C0239571', 'C0043094', 'C0231528', 'C0002962', 'C0027497', 'C0015230', 'C0013595', 'C1384353', 'C0242350', 'C0009319', 'C0006145', 'C0011603', 'C0040034', 'C0037023', 'C0042384', 'C0030312', 'C0015967', 'C0151766', 'C0267792', 'C0027059', 'C1274594', 'C0428977', 'C0004936', 'C0009450', 'C0919715', 'C0004093', 'C0042963', 'C0948594', 'C0014130', 'C0855242', 'C0023895', 'C0030554', 'C0003862', 'C0027424', 'C0242422', 'C2225524', 'C0009806', 'C0018802', 'C0009782', 'C0152031', 'C0000731', 'C0030305', 'C0037274', 'C0234233', 'C0014457', 'C0151480', 'C0027765', 'C0033975', 'C0002453', 'C0028084', 'C0042373', 'C0011124', 'C0023530', 'C0919980', 'C0012833', 'C0018418', 'C0018681', 'C0018799', 'C0019158', 'C0020517', 'C0031046', 'C0020514', 'C0002878', 'C0017178', 'C0020651', 'C0022346', 'C0013604', 'C0025061', 'C0151763', 'C0239113', 'C0160390']",75
CID000038904,"['C0235378', 'C0038454', 'C0038362', 'C0027497', 'C0027947', 'C0344232', 'C0232487', 'C0019080', 'C0013404', 'C0019061', 'C0311468', 'C0002170', 'C0151313', 'C0232462', 'C0595916', 'C2047937', 'C0004093', 'C0030554', 'C0009806', 'C0011175', 'C0042373', 'C0023530', 'C0020517', 'C1384666', 'C0030312', 'C0018801', 'C0151723', 'C0015967', 'C0002871', 'C0687713', 'C0000737', 'C0011991', 'C0013922', 'C0155320', 'C0231528', 'C0038999', 'C0006826', 'C0085593', 'C0043144', 'C0027051', 'C0040264', 'C0011603', 'C0151904', 'C1443060', 'C0011053', 'C0151888', 'C0031117', 'C0687133', 'C0037274', 'C1565489', 'C0015376', 'C0231218', 'C0521591', 'C0235031', 'C0039231', 'C0521839', 'C0151539', 'C0235032', 'C0022660', 'C0018790', 'C0151744', 'C0006266', 'C0020621', 'C0151766', 'C0009450', 'C0032617', 'C0852911', 'C0948089', 'C0235431', 'C0009782', 'C0151735', 'C0162429', 'C0027540', 'C0014745', 'C0002962', 'C0002792', 'C0020598', 'C0015230', 'C0030193', 'C0234913', 'C0518015', 'C0236151', 'C0015672', 'C0020538', 'C0040034', 'C0042963', 'C0948594', 'C0042109', 'C0041834', 'C0003862', 'C1142499', 'C0015397', 'C0011606', 'C0456909', 'C0013378', 'C0026986', 'C0020625', 'C0234215', 'C3665347', 'C0746883', 'C0333355', 'C0235280', 'C0018799', 'C0852810', 'C0020649', 'C0340865', 'C2697368', 'C0033774', 'C0023418']",109
CID000039042,"['C0016204', 'C0014518', 'C0687713', 'C0000737', 'C0011991', 'C0041969', 'C0231528', 'C0162830', 'C0006277', 'C0027497', 'C0034150', 'C0030193', 'C0015230', 'C0013595', 'C0242350', 'C0027051', 'C0042075', 'C0022660', 'C0011603', 'C0040034', 'C0002170', 'C0151766', 'C0151904', 'C0151905', 'C0009450', 'C0027121', 'C0042109', 'C0017152', 'C0014742', 'C0041834', 'C0151786', 'C0852911', 'C0948594', 'C0948089', 'C0917801', 'C0038325', 'C0009806', 'C0853034', 'C0235431', 'C0031350', 'C0039520', 'C0149931', 'C0013395', 'C0438717', 'C1368065', 'C0012833', 'C0018681', 'C0020517', 'C0021400', 'C0030312', 'C0008350', 'C0037763', 'C0035410', 'C0033774', 'C0002871', 'C0008370']",56
CID000039147,"['C0013362', 'C0027497', 'C0232487', 'C0344232', 'C0853692', 'C0013404', 'C0234192', 'C0023380', 'C0242350', 'C0002170', 'C0232462', 'C0235996', 'C0004093', 'C0855242', 'C0030554', 'C0009806', 'C0022107', 'C0011570', 'C0020557', 'C0023066', 'C0012569', 'C0018801', 'C0015967', 'C0016204', 'C0011991', 'C0340464', 'C0040264', 'C0011603', 'C0017152', 'C0041657', 'C0162529', 'C0027424', 'C0009763', 'C0001339', 'C2363730', 'C0151517', 'C2363731', 'C0233472', 'C0007398', 'C0151602', 'C0242461', 'C0851578', 'C0039070', 'C0001824', 'C0030805', 'C0004245', 'C0085633', 'C0277925', 'C0036974', 'C0151908', 'C0006266', 'C0428977', 'C0030848', 'C0314719', 'C0151636', 'C0002622', 'C0018802', 'C0476273', 'C0013395', 'C0043352', 'C0034063', 'C0233407', 'C0008031', 'C0013604', 'C0018800', 'C0021775', 'C0018524', 'C0043094', 'C0034735', 'C0030193', 'C0015230', 'C0015672', 'C0020538', 'C0010200', 'C0151942', 'C0042963', 'C0917801', 'C0026896', 'C0000731', 'C0268000', 'C3665347', 'C0011124', 'C0012833', 'C0020458', 'C0232352', 'C0020649', 'C0033774']",87
CID000039186,"['C0042029', 'C0006277', 'C0027497', 'C0344232', 'C0232487', 'C0011616', 'C0497156', 'C0028734', 'C0013404', 'C0006384', 'C0023380', 'C0242350', 'C0003813', 'C0002170', 'C0575081', 'C0403632', 'C0232462', 'C0542571', 'C2047937', 'C0026858', 'C0948525', 'C0004093', 'C0030554', 'C0151825', 'C2973529', 'C0015371', 'C0014591', 'C0009806', 'C0520886', 'C0853034', 'C0233632', 'C0234458', 'C0151717', 'C0016382', 'C0031350', 'C0085641', 'C0042373', 'C0023530', 'C0086168', 'C0014236', 'C0042514', 'C0017181', 'C1368065', 'C0020517', 'C0012569', 'C0042267', 'C0085649', 'C0162834', 'C3263723', 'C0015967', 'C0037188', 'C0026826', 'C0160390', 'C0016204', 'C0740394', 'C0000737', 'C0011991', 'C0041969', 'C0231528', 'C0038999', 'C0035455', 'C1167965', 'C0013491', 'C0030232', 'C0340464', 'C0235266', 'C0027051', 'C0009319', 'C0040264', 'C0042571', 'C0011603', 'C0151579', 'C0020456', 'C0151904', 'C0853619', 'C2830004', 'C0010692', 'C1306341', 'C1443060', 'C0232492', 'C0027441', 'C0041657', 'C0232849', 'C0027424', 'C0034186', 'C0038325', 'C0242422', 'C0026848', 'C0031117', 'C0009763', 'C0151517', 'C0233472', 'C0549209', 'C0006444', 'C0233494', 'C0018418', 'C0018681', 'C0015402', 'C0042384', 'C0021400', 'C0085614', 'C0231218', 'C0002994', 'C0025061', 'C0037763', 'C0040435', 'C0038358', 'C0013456', 'C0232208', 'C0242698', 'C0039070', 'C0541782', 'C0085612', 'C0033575', 'C0014518', 'C0001824', 'C0003811', 'C0039231', 'C0030252', 'C0240735', 'C0004245', 'C0027962', 'C0085633', 'C0035078', 'C0036974', 'C0016385', 'C0151744', 'C0018790', 'C0428977', 'C0877055', 'C0009450', 'C0232197', 'C0085610', 'C0032617', 'C0151636', 'C0042023', 'C0002622', 'C0948089', 'C2747891', 'C0018802', 'C0029882', 'C0152029', 'C0151205', 'C0392525', 'C0027765', 'C0476273', 'C0014724', 'C0013395', 'C0043352', 'C0007859', 'C0151735', 'C0008031', 'C0039971', 'C0018099', 'C0030332', 'C0031542', 'C0235416', 'C0029408', 'C0162429', 'C0002878', 'C0017178', 'C0020651', 'C0013604', 'C0018524', 'C0162830', 'C0013390', 'C0043094', 'C0016242', 'C0034150', 'C0030193', 'C0015230', 'C0002418', 'C0015672', 'C0037199', 'C0010200', 'C0037195', 'C0042075', 'C0040034', 'C0264906', 'C1274594', 'C0042510', 'C0042963', 'C0948594', 'C0042109', 'C0014742', 'C0041834', 'C0497365', 'C0003862', 'C0035309', 'C0917801', 'C1142412', 'C0017566', 'C0027769', 'C0015397', 'C0022408', 'C0011606', 'C0031256', 'C0152031', 'C0000731', 'C0013378', 'C1320474', 'C0234215', 'C3665347', 'C0404521', 'C0151529', 'C0001925', 'C0012833', 'C0018799', 'C0019158', 'C0020458', 'C0020649', 'C0040822', 'C0033774']",213
CID000039468,"['C0003811', 'C0011991', 'C0038454', 'C0030252', 'C0027497', 'C0030193', 'C0004245', 'C0022073', 'C0022568', 'C0036974', 'C0013404', 'C0009676', 'C0023380', 'C0242350', 'C0018790', 'C0006266', 'C0002170', 'C0428977', 'C0005745', 'C0004093', 'C1443060', 'C0042109', 'C0497365', 'C0014742', 'C0030554', 'C0041657', 'C0027424', 'C0038325', 'C0011849', 'C0018802', 'C0011570', 'C0020615', 'C0854097', 'C0026896', 'C0009763', 'C0004134', 'C3665347', 'C1145670', 'C0008031', 'C0917798', 'C0012569', 'C0012833', 'C0018681', 'C0020517', 'C0020649', 'C0033774', 'C0039070']",47
CID000039507,"['C0010037', 'C0085636', 'C0344232', 'C0035455', 'C0022568', 'C0019348', 'C0855704', 'C0314719', 'C0151601', 'C0205204', 'C0020452', 'C0234708', 'C1096274', 'C0392163', 'C0423602', 'C0015403', 'C0013378', 'C0234215', 'C0031350', 'C0161479', 'C0010043', 'C0018681', 'C0020649', 'C0152227', 'C0033774', 'C0235259', 'C0013604', 'C0151827']",28
CID000039764,"['C0003578', 'C0039231', 'C0002792', 'C0151828', 'C0015230', 'C0234913', 'C0021053', 'C0036974', 'C0026846', 'C0011603', 'C0006266', 'C0085620', 'C0542571', 'C0042109', 'C0041834', 'C0151786', 'C0852908', 'C0026848', 'C0009782', 'C0037274', 'C0016382', 'C0027765', 'C0042373', 'C0151735', 'C1145670', 'C0235063', 'C0020517', 'C0018799', 'C0020649', 'C0002994', 'C0025061', 'C0340865', 'C0855775', 'C0522224']",34
CID000039860,"['C0038454', 'C0085636', 'C0038362', 'C0234987', 'C0027497', 'C0344232', 'C0003028', 'C0009421', 'C0013404', 'C0009676', 'C0520966', 'C0004623', 'C0026961', 'C0232462', 'C0542571', 'C2047937', 'C0004093', 'C0020672', 'C0030554', 'C0020580', 'C0014591', 'C0009806', 'C0233794', 'C0022107', 'C0233632', 'C0011570', 'C0234458', 'C0231919', 'C0235146', 'C0016382', 'C0031350', 'C0028084', 'C0023530', 'C0086168', 'C0020517', 'C0015967', 'C0002871', 'C0687713', 'C0000737', 'C0011991', 'C0231528', 'C0085593', 'C0043144', 'C0233477', 'C0235266', 'C0040264', 'C0042571', 'C0011603', 'C2830004', 'C0040409', 'C1306341', 'C1443060', 'C0017152', 'C0041657', 'C0027424', 'C0233414', 'C1142135', 'C0687133', 'C0030319', 'C0236075', 'C0033975', 'C0004604', 'C0233472', 'C0011551', 'C0851578', 'C0233494', 'C0018681', 'C0231218', 'C1456784', 'C0521591', 'C0349231', 'C0039070', 'C0085632', 'C0003811', 'C0232461', 'C0039231', 'C0030252', 'C0233471', 'C0085633', 'C0151610', 'C0020903', 'C0270996', 'C0036974', 'C0085631', 'C0424295', 'C0036454', 'C0085628', 'C0233459', 'C0009450', 'C0314719', 'C0042023', 'C0231530', 'C0026827', 'C0037822', 'C0413252', 'C0036572', 'C0013395', 'C0043352', 'C0003467', 'C0007859', 'C0233407', 'C0008031', 'C0235063', 'C0039971', 'C0015423', 'C0020651', 'C0392156', 'C0278134', 'C0018524', 'C0162830', 'C0235234', 'C0030193', 'C0015230', 'C0002418', 'C0015672', 'C0020538', 'C0010200', 'C0037195', 'C0549249', 'C0038363', 'C0600142', 'C0233401', 'C0042963', 'C0948594', 'C0080274', 'C0003862', 'C0917801', 'C0027769', 'C0015397', 'C0234215', 'C0004134', 'C3665347', 'C0012833', 'C0020458', 'C0020649', 'C0040822', 'C0033774', 'C0855775']",138
CID000040291,"['C0016204', 'C0000768', 'C0011991', 'C0038454', 'C0027497', 'C0232487', 'C0015230', 'C0085633', 'C0013404', 'C0151908', 'C0023380', 'C0027051', 'C0040264', 'C0237849', 'C0018790', 'C0011603', 'C0040034', 'C0600142', 'C0002170', 'C0232462', 'C0042963', 'C1527344', 'C0020437', 'C0948089', 'C0917801', 'C0018802', 'C0424605', 'C0011570', 'C0234233', 'C0028081', 'C0236075', 'C0016382', 'C0423798', 'C0023530', 'C0233472', 'C0003467', 'C0008031', 'C0039971', 'C0017181', 'C0018681', 'C0152227', 'C0037763', 'C0040046', 'C0033774', 'C2697368', 'C0013604', 'C0151827', 'C0700184']",48
CID000040326,"['C0020580', 'C0011603', 'C0687713', 'C0000737', 'C0011991', 'C0012833', 'C0018681', 'C0027497', 'C0015230', 'C0030193', 'C0033774', 'C0042963', 'C0015967', 'C0041834', 'C0030554', 'C0278134']",16
