STITCH ID STEREO,MEDRA TERM UMLS CONCEPT ID,se_count
CID000000767,"['C0016204', 'C0020461', 'C0687713', 'C0000737', 'C0003811', 'C2939147', 'C0027497', 'C0232487', 'C0015230', 'C0007642', 'C0020488', 'C0015672', 'C0013404', 'C0009676', 'C0011603', 'C0004093', 'C1443060', 'C0042963', 'C0030554', 'C0020580', 'C0022107', 'C0015376', 'C0003467', 'C0039621', 'C2697368', 'C0278134', 'C0027540', 'C0041582']",28
CID000000772,"['C0020461', 'C0011991', 'C0020473', 'C0239571', 'C0151699', 'C0027497', 'C0034150', 'C0030193', 'C0151828', 'C0013604', 'C0002792', 'C0853692', 'C0518015', 'C0019080', 'C0036974', 'C0013491', 'C0013404', 'C0836924', 'C0009676', 'C0151763', 'C0237849', 'C0011615', 'C0027051', 'C0018944', 'C0040034', 'C0002170', 'C0151904', 'C0151905', 'C1443060', 'C0023895', 'C0042109', 'C0041834', 'C0011849', 'C0085932', 'C0032285', 'C0520886', 'C0151698', 'C0853813', 'C0020557', 'C0151799', 'C0040053', 'C0522224', 'C0004238', 'C0014457', 'C0085641', 'C0028259', 'C0021368', 'C0034063', 'C0238154', 'C1368065', 'C0018681', 'C0020517', 'C0042384', 'C0231218', 'C0856150', 'C0085649', 'C0340865', 'C0018801', 'C0018965', 'C0033774', 'C0015967', 'C0002871', 'C0029456']",63
CID000000774,"['C0038362', 'C0027497', 'C0027947', 'C0151828', 'C0013404', 'C0151605', 'C0232462', 'C2047937', 'C0004093', 'C0014130', 'C0030554', 'C0009806', 'C0521508', 'C0016382', 'C0011175', 'C0042373', 'C0023530', 'C0020517', 'C0085649', 'C0015967', 'C0002871', 'C0852625', 'C0000737', 'C0011991', 'C0231528', 'C0392196', 'C0085593', 'C0043144', 'C0042571', 'C0011603', 'C0004936', 'C1443060', 'C0232492', 'C0017152', 'C0027424', 'C0037274', 'C0014457', 'C0236075', 'C0041912', 'C0004604', 'C0231218', 'C0018681', 'C0027651', 'C0025061', 'C0004096', 'C0039231', 'C0030252', 'C0521839', 'C0036974', 'C0151908', 'C0043096', 'C0006266', 'C0009450', 'C0032285', 'C0151698', 'C0009782', 'C0028081', 'C0027765', 'C0151734', 'C0013395', 'C0043352', 'C0003467', 'C0151735', 'C0008031', 'C1384353', 'C0521505', 'C0162429', 'C0017178', 'C0030196', 'C2939147', 'C0002792', 'C0030193', 'C0015230', 'C0015672', 'C0020538', 'C0010200', 'C0040034', 'C0600142', 'C0042963', 'C0948594', 'C0042109', 'C0041834', 'C0003862', 'C0917801', 'C0000731', 'C0013378', 'C0234215', 'C0012833', 'C0018799', 'C0020458', 'C0020676', 'C0020649', 'C0033774', 'C0852995']",94
CID000000785,"['C0020517', 'C0030193', 'C0011616', 'C0041834', 'C0011615']",5
CID000000813,"['C0016204', 'C0020461', 'C0085632', 'C0687713', 'C0000737', 'C0003811', 'C0011991', 'C0013362', 'C0546817', 'C0027497', 'C0030193', 'C0015230', 'C0004245', 'C0233471', 'C0232487', 'C0518015', 'C0019080', 'C0042487', 'C0009676', 'C0018790', 'C0011603', 'C0522055', 'C0085620', 'C0009450', 'C0004093', 'C1443060', 'C0042963', 'C0030554', 'C0429098', 'C0234146', 'C0032343', 'C0234215', 'C0015376', 'C1112525', 'C0035232', 'C0031542', 'C0020649', 'C2697368', 'C0032961', 'C1258215', 'C0015967', 'C0041582']",42
CID000000888,"['C0035232', 'C0549249', 'C0235063', 'C0085620', 'C0085628', 'C0020598', 'C0020458', 'C0032343', 'C0020649', 'C0413252', 'C0036974', 'C0020672', 'C0016382', 'C0855775']",14
CID000000896,"['C0948586', 'C0038362', 'C0027497', 'C0232487', 'C0344232', 'C0438215', 'C0013595', 'C0853692', 'C0018520', 'C0028734', 'C0023380', 'C0267792', 'C0235996', 'C0004093', 'C0855242', 'C0030554', 'C0017979', 'C0233794', 'C0022107', 'C0020557', 'C0234458', 'C0019360', 'C0028084', 'C0042373', 'C0037036', 'C0149931', 'C0023530', 'C0033581', 'C0020517', 'C0235660', 'C0016204', 'C0687713', 'C0000737', 'C0041969', 'C0541798', 'C0020433', 'C0021053', 'C1167965', 'C1963818', 'C0042571', 'C0011603', 'C0038354', 'C0004936', 'C0017168', 'C0040409', 'C2830004', 'C0232492', 'C0017152', 'C0027441', 'C0041657', 'C0149745', 'C0853945', 'C0233414', 'C0037274', 'C0236075', 'C0004604', 'C0233472', 'C0344315', 'C0233494', 'C0018681', 'C0021177', 'C0002994', 'C0037763', 'C0039070', 'C0030252', 'C0085633', 'C0151610', 'C0036974', 'C0235351', 'C0085631', 'C0151908', 'C0151766', 'C0033771', 'C0009450', 'C0032617', 'C0234632', 'C0009782', 'C0028081', 'C0027765', 'C0013395', 'C0043352', 'C0003467', 'C0007859', 'C0233407', 'C0008031', 'C0039971', 'C1384353', 'C0162429', 'C0017178', 'C0030196', 'C0003864', 'C0033860', 'C0043094', 'C0002962', 'C0020598', 'C0015230', 'C0030193', 'C0033687', 'C0015672', 'C0020538', 'C0042075', 'C0001807', 'C0006145', 'C0040034', 'C0236065', 'C0600142', 'C0042963', 'C0948594', 'C0497365', 'C0041834', 'C0003862', 'C0035258', 'C0917801', 'C0027769', 'C0522351', 'C0015397', 'C0033117', 'C0475858', 'C0020625', 'C0027339', 'C0012833', 'C0018799', 'C0038435', 'C0152227', 'C2697368', 'C0018965', 'C0033774']",127
CID000000923,"['C0038454', 'C0006277', 'C0027497', 'C0344232', 'C0042487', 'C0013404', 'C0232462', 'C0004093', 'C0030554', 'C0001122', 'C0020580', 'C0009806', 'C0022107', 'C0234233', 'C0027709', 'C0011175', 'C0020517', 'C0015967', 'C0016204', 'C0687713', 'C0000737', 'C0011991', 'C0038999', 'C0007642', 'C0027051', 'C1720775', 'C0011603', 'C0028961', 'C0011168', 'C0041657', 'C0025637', 'C0220983', 'C1565489', 'C0015376', 'C0021843', 'C0151602', 'C0018681', 'C0015734', 'C0000833', 'C0039070', 'C0041582', 'C0003811', 'C0039231', 'C0030252', 'C1321686', 'C0035078', 'C0036974', 'C0151539', 'C0022660', 'C0006266', 'C0020621', 'C0009450', 'C1291078', 'C0948089', 'C0018802', 'C0235431', 'C0036572', 'C0003467', 'C0233407', 'C0008031', 'C0031542', 'C0006285', 'C0013604', 'C0002063', 'C0027540', 'C0020488', 'C0243026', 'C0546817', 'C2939147', 'C0002792', 'C0020598', 'C0015230', 'C0005779', 'C0015672', 'C0236071', 'C0021845', 'C0042963', 'C0042109', 'C0085681', 'C0000731', 'C0013378', 'C0268000', 'C0040586', 'C0151529', 'C0236024', 'C0039621', 'C0012833', 'C0020458', 'C0020649', 'C0010520', 'C0033774']",91
CID000000937,"['C0235378', 'C0038362', 'C0006277', 'C0027497', 'C0344232', 'C0011616', 'C0013595', 'C0019080', 'C0013404', 'C0019270', 'C0151907', 'C0242350', 'C0002170', 'C0232462', 'C0242301', 'C0542571', 'C0004093', 'C0855242', 'C0030554', 'C0151786', 'C0151603', 'C0020580', 'C0005940', 'C0151785', 'C0019360', 'C0023066', 'C0016382', 'C0085641', 'C0042373', 'C0149931', 'C0023530', 'C0017181', 'C0020517', 'C0042267', 'C0085649', 'C0162834', 'C0022346', 'C0015967', 'C0026826', 'C0595877', 'C0016204', 'C0740394', 'C0687713', 'C0000737', 'C0011991', 'C0231528', 'C0085593', 'C0035455', 'C0151671', 'C0020433', 'C1167965', 'C0037286', 'C0023067', 'C0040264', 'C0042571', 'C0011603', 'C0040409', 'C2830004', 'C0011168', 'C0041657', 'C0011849', 'C0026848', 'C0037274', 'C0014868', 'C0023052', 'C0006444', 'C0233494', 'C0018681', 'C0021400', 'C0021177', 'C0002994', 'C0037763', 'C0086565', 'C0241057', 'C0039070', 'C0033575', 'C0086439', 'C0003811', 'C0039231', 'C0030252', 'C0151610', 'C0036974', 'C0151908', 'C0237849', 'C0017601', 'C0011630', 'C0151766', 'C0032617', 'C0151691', 'C0085932', 'C0231530', 'C0024115', 'C0004238', 'C0085624', 'C0014724', 'C0013395', 'C0043352', 'C0003962', 'C0018099', 'C0870082', 'C0020459', 'C0235416', 'C0008350', 'C0162429', 'C0017178', 'C0020651', 'C0035410', 'C0423791', 'C0013604', 'C0024440', 'C0027540', 'C0003864', 'C0852795', 'C2939147', 'C0002962', 'C0002792', 'C0030193', 'C0015230', 'C0020578', 'C0037299', 'C0002418', 'C0518015', 'C0151505', 'C0010200', 'C0302314', 'C0015732', 'C0024902', 'C0151942', 'C0022354', 'C0030920', 'C0016059', 'C0042963', 'C0948594', 'C0042109', 'C0041834', 'C0080274', 'C0019209', 'C0003862', 'C0917801', 'C0027769', 'C0015397', 'C0000731', 'C0019079', 'C0268000', 'C3665347', 'C0404521', 'C0271051', 'C0012833', 'C0019158', 'C0020458', 'C0020676', 'C0020649', 'C0033774', 'C0008370']",154
CID000000942,"['C0038363', 'C0853813', 'C0030252', 'C0018681', 'C0012833', 'C0027497', 'C0232487', 'C0004238', 'C0042963', 'C0917801', 'C0019521', 'C0010200', 'C0027424']",13
